trait	order	rev_order	order_trait	rev_order_trait	node1	node2	node3	node4	node5	node6	node7	node8	node9	node10
x11	1	70	01_x11	70_x11	1.097773492	1.026816187	1.079181307	0.991542393	1.086730199	0.943452281	0.968449124	1.053485508	0.881043999	0.914114997
y5	2	69	02_y5	69_y5	0.919032384	0.95062942	1.020314633	1.008877844	1.050075653	1.053237543	1.00449995	1.009226572	1.016473629	0.983782157
y6	3	68	03_y6	68_y6	0.918294642	0.953941184	1.019275489	1.005103834	1.042313847	1.040197138	0.990576217	1.00277558	0.999734547	0.967611861
y1	4	67	04_y1	67_y1	0.92004804	0.953929695	1.037402034	0.998613932	1.039065975	1.037252948	0.978143857	0.997995653	0.989071658	0.943876726
y2	5	66	05_y2	66_y2	0.931158428	0.958740434	1.035981202	1.003485089	1.045844681	1.05323853	0.990504835	1.010274716	1.002985743	0.958414495
y3	6	65	06_y3	65_y3	0.875630534	1.039304046	1.03074158	0.959923253	0.990829325	1.062560495	1.001678067	1.028670895	1.033948539	0.989589475
y4	7	64	07_y4	64_y4	1.049733467	0.920273316	0.961967051	0.955449819	0.992036146	1.042625614	0.997218324	1.027954771	1.043211273	1.03447527
x9	8	63	08_x9	63_x9	0.610307445	0.791983085	0.937473599	0.95513294	0.982148583	1.013406069	1.029195727	1.043563822	1.066394605	1.062240051
x13	9	62	09_x13	62_x13	0.640174097	0.810334041	0.939197421	0.961097436	0.973772216	1.008260089	1.016945104	1.036020319	1.077201098	1.050252403
D3	10	61	10_D3	61_D3	0.628015873	0.607046893	0.860687329	1.027418599	0.991687224	0.961050754	0.935869547	0.934426635	0.937781514	1.206357144
D1	11	60	11_D1	60_D1	0.535181685	0.59391238	0.887107377	0.992000898	0.964332827	0.982311143	0.936352263	0.977188882	0.986342098	1.286649055
y11	12	59	12_y11	59_y11	0.768312767	0.799684236	0.946747669	1.001607521	1.029627073	1.028490583	1.036478511	1.038212199	1.04488063	1.091753845
y7	13	58	13_y7	58_y7	1.177247312	1.098050957	1.016402844	0.926994541	0.926778903	0.963487143	0.933828391	0.914836102	0.884861726	0.968584956
y8	14	57	14_y8	57_y8	1.208653397	1.157938796	1.060398187	0.965180435	0.937672954	0.940721619	0.92590722	0.898095665	0.879463738	0.965456182
y14	15	56	15_y14	56_y14	1.125206706	1.106013925	0.953690012	0.977156378	0.998369773	1.016754162	0.963235285	0.952531865	0.987574148	1.06007873
y15	16	55	16_y15	55_y15	1.160878759	1.02092765	0.891451199	0.952920951	0.979245252	0.971818869	0.990714471	0.948406879	0.980289763	1.061814759
x5	17	54	17_x5	54_x5	1.435170908	1.306344896	1.075565722	1.015757438	1.125723026	1.037642042	0.947874788	0.917613033	0.929608971	0.909321146
x6	18	53	18_x6	53_x6	1.405556333	1.308273642	1.074035703	1.036255931	1.133762995	1.053351786	0.958967826	0.925069812	0.923784347	0.899477623
x1	19	52	19_x1	52_x1	1.328236342	1.264439084	1.140611652	0.997287989	1.066076446	1.057639243	0.945598211	0.982161844	0.888462599	0.829380639
x2	20	51	20_x2	51_x2	1.377837488	1.289421222	1.156157045	0.996075499	1.070356897	1.046741866	0.935160271	0.97188627	0.87660185	0.845007951
x3	21	50	21_x3	50_x3	1.250891526	1.116101823	1.069782645	0.956422179	1.019142655	0.969821406	0.999154036	0.940295968	0.907427865	0.925970443
x4	22	49	22_x4	49_x4	1.16820585	1.170620348	1.138684695	0.990347465	1.03855629	0.98123082	0.983877326	0.972364584	0.913881937	0.816138469
y10	23	48	23_y10	48_y10	0.628602774	0.691966026	0.823914546	0.899721659	0.935392575	0.974039265	1.029971623	1.022701022	1.050408633	1.01996603
y12	24	47	24_y12	47_y12	0.628885895	0.748297862	0.871733726	0.891145423	0.941029515	0.990343328	1.025310036	1.029457506	1.062478045	1.007440586
x10	25	46	25_x10	46_x10	0.786445628	0.855190616	0.881902293	0.940300251	0.97222141	0.987719369	1.000881081	1.048309313	1.015234011	1.035031217
x12	26	45	26_x12	45_x12	0.80789158	0.841590616	0.886430417	0.939777362	0.999688411	0.976485716	1.018398589	1.004971684	1.030864882	1.021263276
D6	27	44	27_D6	44_D6	0.661967769	0.845954239	0.982233287	1.052621919	1.002865094	1.026122804	1.023350691	0.948742852	1.024276422	1.14094819
A1	28	43	28_A1	43_A1	0.632467722	0.766076596	0.950367472	0.952279466	0.940121584	1.008763845	1.007857546	0.99914033	1.038944887	1.098549178
A3	29	42	29_A3	42_A3	0.60690208	0.727828665	0.863484484	0.941991359	0.924488512	0.998606531	1.069723993	1.039597449	1.096338106	1.056662136
D2	30	41	30_D2	41_D2	0.904856899	0.750198224	0.790207529	0.896686281	0.93079846	0.962639891	1.042214147	0.993073113	1.019384353	0.988810262
x7	31	40	31_x7	40_x7	0.83199866	0.926090755	0.918080764	0.946487063	0.950731417	0.975448266	0.986543655	0.991231842	1.026250414	1.035938749
x8	32	39	32_x8	39_x8	0.818914242	0.914912271	0.890565664	0.934943185	0.957941928	0.967120975	0.979197422	0.991749854	1.025188802	1.000042125
x14	33	38	33_x14	38_x14	0.844177144	0.898740535	0.923428693	0.927773337	0.97969093	0.953084167	0.999868596	0.963703051	1.030062899	0.992063908
x15	34	37	34_x15	37_x15	0.869191978	0.902134342	0.933002823	0.946210671	0.967417208	0.971050365	1.009217437	0.963029372	1.04729862	1.038456541
D8	35	36	35_D8	36_D8	0.651555449	0.753863523	1.00474183	0.845207456	0.972802338	0.970142448	1.096347828	0.928873572	0.962595612	1.231822143
