trait	order	rev_order	order_trait	rev_order_trait	node1	node2	node3	node4	node5	node6	node7	node8	node9	node10
D12	36	35	36_D12	35_D12	0.671153504	0.752295173	1.010214069	0.920675012	0.932070765	1.034154804	1.02575416	0.962829554	1.089620428	1.157058165
D10	37	34	37_D10	34_D10	0.591199874	0.657012087	0.955766121	0.951659197	0.92565877	0.891694149	0.965004862	0.959605768	1.094305636	1.116919619
D14	38	33	38_D14	33_D14	0.808499865	0.990149525	1.007956947	1.014492169	0.926998012	0.885307147	0.935860987	0.915352834	0.970505468	1.235120372
A17	39	32	39_A17	32_A17	0.90602459	0.844807346	0.950230372	0.90320549	0.831125628	0.803124345	0.802269676	0.771736266	0.753288651	1.136655706
A11	40	31	40_A11	31_A11	0.86082761	0.836506224	0.87616113	0.989085783	0.88874466	0.881644413	0.861197967	0.934079202	0.92280377	0.916657912
A15	41	30	41_A15	30_A15	1.015514994	0.853078696	0.905039585	0.946329911	0.955122968	1.033751543	1.047142937	0.969684476	0.990855202	1.071438492
A19	42	29	42_A19	29_A19	0.895754513	0.800377197	0.938502993	0.924377573	0.876237285	0.888506094	0.944076677	1.005859233	0.834856133	0.986578788
A9	43	28	43_A9	28_A9	0.758567402	0.715402047	0.770356525	0.9739647	0.955692807	0.967806006	0.986722791	1.039343928	0.991723702	1.088473086
A7	44	27	44_A7	27_A7	1.005268318	0.981197172	1.091985723	1.077482193	0.945472698	0.921871694	1.039194058	0.866783325	0.872068147	0.968696508
A13	45	26	45_A13	26_A13	0.836493128	0.779506106	0.789879781	0.840131556	0.778321081	0.899807994	0.929594741	0.958094048	0.902215447	1.194322245
y9	46	25	46_y9	25_y9	0.687796725	0.75314887	0.907598114	0.931542295	0.998026519	0.991990572	1.002405747	0.995813013	1.055372879	1.06861755
y13	47	24	47_y13	24_y13	0.682557497	0.860258014	0.94791074	0.908366002	0.994895361	1.006798376	1.000399087	1.046911928	1.064315743	1.027501387
D11	48	23	48_D11	23_D11	0.476442377	0.612446954	0.82722188	1.003307549	0.92747612	0.897912289	0.964119203	0.890316071	0.929011375	1.184709825
D9	49	22	49_D9	22_D9	0.468545045	0.710117768	0.831196785	1.027699261	0.977786017	0.954814628	1.034470839	0.950563949	0.923411356	1.106032117
D13	50	21	50_D13	21_D13	0.609321907	0.667964509	0.899145287	0.934768069	0.964711662	0.98618347	1.031949927	1.037235058	0.986640497	1.119956147
A10	51	20	51_A10	20_A10	0.892807276	0.918659547	0.807765175	0.936526753	0.9259003	0.916894303	0.950398753	0.838364268	0.874311391	1.009053074
A4	52	19	52_A4	19_A4	0.858631204	0.789121592	0.822307592	0.92768749	0.881085609	0.914794373	0.908640518	0.85848813	0.852466977	0.864898185
A8	53	18	53_A8	18_A8	0.891122959	1.02474878	0.916985454	1.131072993	1.004545425	0.954712534	0.86003234	0.935631799	0.943067726	0.973770153
A16	54	17	54_A16	17_A16	0.90831989	0.866358484	0.997875739	0.978433778	1.002976407	0.86939272	0.965320688	0.942707173	0.885856444	0.924750144
A14	55	16	55_A14	16_A14	0.901751459	0.929723826	1.060755379	0.976445689	0.923229918	0.865192001	1.022317836	0.903285208	0.91991492	1.165978939
A20	56	15	56_A20	15_A20	0.941186063	0.932279298	0.968303386	0.95025767	0.999417682	0.902489094	1.004956443	0.937657205	1.00464559	0.978768813
A6	57	14	57_A6	14_A6	0.658045883	0.959262614	0.89524979	0.93198852	0.952854732	0.940379497	0.923233298	0.94862589	0.965049934	0.993275428
A12	58	13	58_A12	13_A12	0.849431317	0.772906419	0.846773736	0.975354615	0.991983534	0.934176765	0.955648558	0.934780614	0.921578907	1.058080344
A18	59	12	59_A18	12_A18	0.86339408	0.91164079	0.872414016	0.866596055	0.89072688	0.890374277	0.94910526	0.844606898	0.933537438	1.114892362
A2	60	11	60_A2	11_A2	0.460798642	0.600894024	0.778992089	0.808363046	0.813003933	0.869647645	0.877300458	0.929076346	0.912376474	1.131270621
A5	61	10	61_A5	10_A5	0.843399774	0.764763485	0.896740816	0.832371562	0.766216511	0.776839347	0.861657221	0.881685746	0.791166118	0.892216164
D4	62	9	62_D4	09_D4	0.47181474	0.695610222	0.785283104	0.881152498	0.932134021	0.975936607	0.997925557	1.007325766	1.092163105	1.114155844
D5	63	8	63_D5	08_D5	0.487713271	0.630858854	0.808256002	0.921881552	0.910885348	0.895827222	1.00685473	0.978294769	0.971885567	1.150320717
D7	64	7	64_D7	07_D7	0.528048936	0.557658535	0.806031044	1.018439413	0.92196612	0.900481033	0.938908484	0.857734114	0.878017278	1.248371308
D15	65	6	65_D15	06_D15	0.689623251	0.72018626	0.956655173	1.039031913	0.920321291	0.868537313	0.934505898	0.918193906	0.823658571	1.094314127
D17	66	5	66_D17	05_D17	0.736027988	0.818556031	0.997025937	1.109797393	0.877479713	0.980232588	0.897013037	0.950194323	0.860480016	1.059764318
D19	67	4	67_D19	04_D19	0.724426969	0.802234772	0.915270704	1.043187955	0.957908095	0.917107248	0.913859	0.905144949	0.858358687	1.154607992
D18	68	3	68_D18	03_D18	0.752330269	0.659492876	0.90965824	0.982518102	0.886707487	0.918627236	0.963634384	0.910774653	1.087779896	1.277179852
D16	69	2	69_D16	02_D16	0.673073797	0.777260429	0.854170025	1.071304475	0.942405329	0.997017538	0.986270211	0.937094143	1.063019827	1.11516025
D20	70	1	70_D20	01_D20	0.874490731	0.827923665	0.937824133	1.051817144	0.907564833	0.911842421	0.9856595	0.948959598	1.011310446	1.108423839
