class	species	node1	node2	node3	node4	node5	node6	node7	node8	node9	node10
A	01_coriacea	0.714285714	0.75	0.833333333	1	0.916666667	0.916666667	0.916666667	1	0.9	0.9
A	02_misera	0.428571429	0	0.375	0.375	0.875	0.25	0.375	0.625	0.5	0.75
B	03_biflora	0.4	0.4	0.8	0.6	0.4	0.6	0.8	0.5	0.75	0.5
B	04_capsularis	0	0.5	0.166666667	0.666666667	0.666666667	0.666666667	0.666666667	0.833333333	0.666666667	0.666666667
B	05_micropetala	0	0.2	0.333333333	0.833333333	0.166666667	0.833333333	0.666666667	1	0.333333333	0.2
B	06_rubra	0.166666667	0.5	0.333333333	0.5	0.666666667	0.666666667	0.666666667	0.666666667	0.666666667	0.2
B	07_tricuspis	0.125	0.142857143	0.75	0.625	0.75	0.875	1	0.75	0.75	0.875
C	08_caerulea	0	0	0.333333333	0	0	0.666666667	0.333333333	0.666666667	0	0.333333333
C	09_edmundoi	0.25	0.2	0.2	0.6	0.2	1	1	0.6	0.8	1
C	10_gibertii	0	0	0.666666667	0.5	1	1	0.8	1	0.8	1
C	11_hatschbachii	0.142857143	0.285714286	0.333333333	0.571428571	0.714285714	0.714285714	0.857142857	0.571428571	0.857142857	0.714285714
C	12_mollissima	0	0.5	0.8	0.2	0.166666667	0.833333333	0.333333333	0.5	0.333333333	0.25
C	13_setacea	0.2	0	0.833333333	0.5	0.6	0.4	0.666666667	0.5	0.666666667	0.25
C	14_suberosa	0.181818182	0.692307692	0.615384615	0.583333333	0.454545455	0.636363636	0.416666667	0.4	0.727272727	0.444444444
C	15_tenuifila	0	0	0.5	0.25	0.5	0.75	1	0.75	0.75	1
D	16_amethystina	0	0	0.166666667	0.5	0.333333333	0.833333333	0.833333333	0.833333333	0.833333333	1
D	17_foetida	0	0	0.666666667	0.666666667	0.8	1	1	0.833333333	1	0.833333333
D	18_gracilis	0	0	0.5	0	0.5	0.5	0.5	0	0	0
D	19_morifolia	0.5	0	1	1	1	0	1	0	0	0
E	20_actinia	0	0	0	0.4	0	0.8	0.6	1	1	0.6
E	21_miersii	0	0.6	0.571428571	0.285714286	0.571428571	0.714285714	0.714285714	0.857142857	1	0.857142857
E	22_sidifolia	0	0	0	1	0.4	0.6	0.666666667	0.5	0.833333333	0.833333333
E	23_triloba	0.5	0.666666667	0.5	0.166666667	0.5	0.166666667	0.4	0.75	0	0.4
F	24_alata	0.285714286	0.4	0.428571429	1	0.428571429	0.857142857	0.714285714	0.857142857	0.714285714	0.571428571
F	25_edulis	0.333333333	1	1	1	1	1	0.666666667	1	1	0
F	26_ligularis	0	0	1	0.571428571	0.857142857	1	0.857142857	1	1	0.857142857
F	27_nitida	0.5	0.5	0.5	0.25	0.5	0.5	0.75	0	0.666666667	1
F	28_racemosa	0	0.428571429	0.714285714	0.571428571	0.571428571	1	0.714285714	0.571428571	0.714285714	0.714285714
F	29_villosa	0	0	0.25	0.25	0.5	0.25	1	0.75	1	0
G	30_coccinea	0.5	0.2	0.333333333	0	0	0.333333333	0.333333333	0.166666667	0.166666667	0.5
G	31_cristalina	0.142857143	0.571428571	0	0.142857143	0.571428571	0.857142857	0.571428571	0.857142857	0.857142857	0.857142857
G	32_galbana	0.285714286	0.428571429	0.714285714	0.285714286	0.428571429	0.714285714	0.285714286	0.428571429	0.428571429	0.285714286
G	33_malacophylla	0.285714286	0.714285714	0.714285714	0.857142857	0.714285714	0.857142857	0.428571429	0.857142857	0.714285714	0.6
G	34_maliformis	0	0.4	0.2	0.2	0.2	0.2	0.4	0.8	0.8	1
G	35_miniata	0	0	0.125	0.5	0.375	0.25	0	0.25	0.375	0.5
G	36_mucronata	0.75	0.4	1	1	0.2	1	0.4	0.8	0.8	0.8
average	average	0.18590368	0.291122304	0.507173382	0.512566138	0.514676527	0.673397667	0.648181217	0.652083333	0.650129269	0.591479277
