plant	species	class	total	V1	V2	endV1	endV2	start_hetero	end_hetero	zeroV1start	zeroV2start	zeroV1end	zeroV2end
Prac2	racemosa	F	12	11.82625198	-14.99649638	24.00758099	1.699068438	1	12	0	0	12.18132901	16.69556482
Pset6	setacea	C	12	-10.68405536	-8.060326784	-28.51308678	16.16936455	1	12	0	0	-17.82903142	24.22969133
Psub12	suberosa	C	12	1.633512328	-10.2614646	-28.18286963	15.48353978	1	12	0	0	-29.81638196	25.74500438
Psub4	suberosa	C	12	13.10180733	9.417928439	-16.50402362	19.51184147	1	12	0	0	-29.60583095	10.09391303
Pala3	alata	F	13	2.908321989	24.99892418	12.93037818	21.8112312	1	13	0	0	10.02205619	-3.18769298
Pame4	amethystina	D	13	11.02890789	8.874918419	-16.78744101	17.26299705	1	13	0	0	-27.8163489	8.388078631
Pcoc6	coccinea	G	13	10.39119301	24.55647893	6.860902958	22.50563978	1	13	0	0	-3.530290052	-2.05083915
Pcor3	coriacea	A	13	0.57239148	5.087632051	-17.77313925	-22.49350737	1	13	0	0	-18.34553073	-27.58113942
Pcor5	coriacea	A	13	7.370918887	3.582395105	-10.45399086	-24.98237555	1	13	0	0	-17.82490975	-28.56477066
Pcor6	coriacea	A	13	8.512961764	0.532416078	-12.6504272	-28.84795709	1	13	0	0	-21.16338896	-29.38037317
Pcri6	cristalina	G	13	12.34613669	15.22904567	11.87430711	12.86572771	1	13	0	0	-0.47182958	-2.36331796
Phat3	hatschbachii	C	13	-13.18506741	9.636723473	-30.48310786	18.43470292	1	13	0	0	-17.29804045	8.797979447
Pmic2	micropetala	B	13	0.005598852	-16.65504093	1.758710829	-13.85660646	1	13	0	0	1.753111977	2.79843447
Pmin6	miniata	G	13	5.324182853	21.24164322	22.24469241	12.59878652	1	13	0	0	16.92050956	-8.6428567
Pmol6	mollissima	C	13	-10.79811269	-7.206327656	-24.90392769	-5.899032294	1	13	0	0	-14.105815	1.307295362
Pmor1	morifolia	D	13	-4.408742123	-15.19870323	-8.329193269	-11.78092138	1	13	0	0	-3.920451146	3.41778185
Prac3	racemosa	F	13	9.350756026	7.490309417	31.74462173	6.924206315	1	13	0	0	22.3938657	-0.566103102
Prub5	rubra	B	13	13.6031168	-16.83740762	13.82673734	-24.39745881	1	13	0	0	0.22362054	-7.56005119
Psub5	suberosa	C	13	-12.3068311	-31.16738208	-29.33968655	20.14808	1	13	0	0	-17.03285545	51.31546208
Psub7	suberosa	C	13	-3.600005096	13.41164101	-29.26706023	17.60586279	1	13	0	0	-25.66705513	4.19422178
Pact2	actinia	E	14	-0.512946726	24.18395369	8.541741093	-10.67107795	1	14	0	0	9.054687819	-34.85503164
Pala2	alata	F	14	10.22285991	14.94164546	12.34160458	11.95943777	1	14	0	0	2.11874467	-2.98220769
Pala6	alata	F	14	5.061154549	11.45498469	32.97949158	7.783396243	1	14	0	0	27.91833703	-3.671588447
Pame6	amethystina	D	14	7.555575296	-7.556357691	-17.34048824	-0.853269342	1	14	0	0	-24.89606354	6.703088349
Pcap6	capsularis	B	14	3.44342353	-7.844942443	11.53563329	-25.85248801	1	14	0	0	8.09220976	-18.00754557
Pcin1	cincinnata	C	14	-22.81139413	11.43955472	-23.9608956	-10.50183019	1	14	0	0	-1.14950147	-21.94138491
Pcin2	cincinnata	C	14	-17.71713209	8.583481552	-21.528615	-11.88923355	1	14	0	0	-3.81148291	-20.4727151
Pcoc4	coccinea	G	14	12.57244779	24.64767213	11.88638547	15.33027346	1	14	0	0	-0.68606232	-9.31739867
Pedu3	edulis	F	14	8.684974589	12.93396611	-7.19524531	-6.282502433	1	14	0	0	-15.8802199	-19.21646854
Pgal5	galbana	G	14	4.257728241	27.49760566	28.60069839	15.30467198	1	14	0	0	24.34297015	-12.19293368
Pmal7	malacophylla	G	14	10.48141751	-12.55891464	31.77549343	5.647980931	1	14	0	0	21.29407592	18.20689557
Pmin4	miniata	G	14	9.264470382	18.17907065	25.53972967	10.60988481	1	14	0	0	16.27525929	-7.56918584
Pmis2	misera	A	14	4.233870031	24.78320569	-14.29306438	-23.35108392	1	14	0	0	-18.52693441	-48.13428961
Pmis6	misera	A	14	12.80698144	-15.85721242	-15.74174426	-22.89323949	1	14	0	0	-28.5487257	-7.03602707
Pmis8	misera	A	14	-4.415558436	-31.25888297	-15.82665394	-22.74515021	1	14	0	0	-11.4110955	8.51373276
Pmol5	mollissima	C	14	8.574933173	-17.52421739	-25.88142436	4.427865044	1	14	0	0	-34.45635753	21.95208243
Pmor2	morifolia	D	14	-5.112537499	-12.67155257	-6.117559814	-12.44472401	1	14	0	0	-1.005022315	0.22682856
Pmuc2	mucronata	G	14	8.334273849	30.46960217	30.44864866	18.02824111	1	14	0	0	22.11437481	-12.44136106
Psub13	suberosa	C	14	-5.832774447	5.13720995	-28.20639236	18.22501694	1	14	0	0	-22.37361791	13.08780699
Pten1	tenuifila	C	14	3.555609077	6.585814086	-11.65505169	20.84044165	1	14	0	0	-15.21066077	14.25462756
Pten3	tenuifila	C	14	1.434916763	24.34894196	-27.55866211	4.401585838	1	14	0	0	-28.99357887	-19.94735612
Ptlo4	triloba	E	14	3.400691158	4.256234486	13.2825067	8.072559736	1	14	0	0	9.881815542	3.81632525
Ptlo6	triloba	E	14	7.026865228	5.0195239	10.86797704	6.754900025	1	14	0	0	3.841111812	1.735376125
Ptri3	tricuspis	B	14	5.093844205	-27.09185373	-14.35416112	-16.82917929	1	14	0	0	-19.44800533	10.26267444
Pvil2	villosa	F	14	6.301656154	8.229872673	-10.29557579	20.25652845	1	14	0	0	-16.59723194	12.02665578
Pvil3	villosa	F	14	19.82511701	-5.335985305	-0.336600308	-9.580243933	1	14	0	0	-20.16171732	-4.244258628
Pala1	alata	F	15	9.495130622	13.47480348	12.38013962	11.9293986	1	15	0	0	2.885008998	-1.54540488
Pala7	alata	F	15	6.914572717	15.35304254	-0.989194208	22.33348688	1	15	0	0	-7.903766925	6.98044434
Pcri5	cristalina	G	15	14.96241145	20.90564274	27.74563179	9.501425867	1	15	0	0	12.78322034	-11.40421687
Pedm4	edmundoi	C	15	-11.22773678	-8.577890406	-30.7309177	5.676070637	1	15	0	0	-19.50318092	14.25396104
Pedu1	edulis	F	15	25.32059389	-10.37201988	-17.39207027	17.96958056	1	15	0	0	-42.71266416	28.34160044
