plant	species	class	total	V1	V2	endV1	endV2	start_hetero	end_hetero
Pala3	alata	F	13	2.908321989	24.99892418	12.93037818	21.8112312	1	13
Pame4	amethystina	D	13	11.02890789	8.874918419	-16.78744101	17.26299705	1	13
Pcoc6	coccinea	G	13	10.39119301	24.55647893	6.860902958	22.50563978	1	13
Pcor3	coriacea	A	13	0.57239148	5.087632051	-17.77313925	-22.49350737	1	13
Pcor5	coriacea	A	13	7.370918887	3.582395105	-10.45399086	-24.98237555	1	13
Pcor6	coriacea	A	13	8.512961764	0.532416078	-12.6504272	-28.84795709	1	13
Pcri6	cristalina	G	13	12.34613669	15.22904567	11.87430711	12.86572771	1	13
Phat3	hatschbachii	C	13	-13.18506741	9.636723473	-30.48310786	18.43470292	1	13
Pmic2	micropetala	B	13	0.005598852	-16.65504093	1.758710829	-13.85660646	1	13
Pmin6	miniata	G	13	5.324182853	21.24164322	22.24469241	12.59878652	1	13
Pmol6	mollissima	C	13	-10.79811269	-7.206327656	-24.90392769	-5.899032294	1	13
Pmor1	morifolia	D	13	-4.408742123	-15.19870323	-8.329193269	-11.78092138	1	13
Prac3	racemosa	F	13	9.350756026	7.490309417	31.74462173	6.924206315	1	13
Prub5	rubra	B	13	13.6031168	-16.83740762	13.82673734	-24.39745881	1	13
Psub5	suberosa	C	13	-12.3068311	-31.16738208	-29.33968655	20.14808	1	13
Psub7	suberosa	C	13	-3.600005096	13.41164101	-29.26706023	17.60586279	1	13
Pact2	actinia	E	14	-0.512946726	24.18395369	8.541741093	-10.67107795	1	14
Pala2	alata	F	14	10.22285991	14.94164546	12.34160458	11.95943777	1	14
Pala6	alata	F	14	5.061154549	11.45498469	32.97949158	7.783396243	1	14
Pame6	amethystina	D	14	7.555575296	-7.556357691	-17.34048824	-0.853269342	1	14
Pcap6	capsularis	B	14	3.44342353	-7.844942443	11.53563329	-25.85248801	1	14
Pcin1	cincinnata	C	14	-22.81139413	11.43955472	-23.9608956	-10.50183019	1	14
Pcin2	cincinnata	C	14	-17.71713209	8.583481552	-21.528615	-11.88923355	1	14
Pcoc4	coccinea	G	14	12.57244779	24.64767213	11.88638547	15.33027346	1	14
Pedu3	edulis	F	14	8.684974589	12.93396611	-7.19524531	-6.282502433	1	14
Pgal5	galbana	G	14	4.257728241	27.49760566	28.60069839	15.30467198	1	14
Pmal7	malacophylla	G	14	10.48141751	-12.55891464	31.77549343	5.647980931	1	14
Pmin4	miniata	G	14	9.264470382	18.17907065	25.53972967	10.60988481	1	14
Pmis2	misera	A	14	4.233870031	24.78320569	-14.29306438	-23.35108392	1	14
Pmis6	misera	A	14	12.80698144	-15.85721242	-15.74174426	-22.89323949	1	14
Pmis8	misera	A	14	-4.415558436	-31.25888297	-15.82665394	-22.74515021	1	14
Pmol5	mollissima	C	14	8.574933173	-17.52421739	-25.88142436	4.427865044	1	14
Pmor2	morifolia	D	14	-5.112537499	-12.67155257	-6.117559814	-12.44472401	1	14
Pmuc2	mucronata	G	14	8.334273849	30.46960217	30.44864866	18.02824111	1	14
Psub13	suberosa	C	14	-5.832774447	5.13720995	-28.20639236	18.22501694	1	14
Pten1	tenuifila	C	14	3.555609077	6.585814086	-11.65505169	20.84044165	1	14
Pten3	tenuifila	C	14	1.434916763	24.34894196	-27.55866211	4.401585838	1	14
Ptlo4	triloba	E	14	3.400691158	4.256234486	13.2825067	8.072559736	1	14
Ptlo6	triloba	E	14	7.026865228	5.0195239	10.86797704	6.754900025	1	14
Ptri3	tricuspis	B	14	5.093844205	-27.09185373	-14.35416112	-16.82917929	1	14
Pvil2	villosa	F	14	6.301656154	8.229872673	-10.29557579	20.25652845	1	14
Pvil3	villosa	F	14	19.82511701	-5.335985305	-0.336600308	-9.580243933	1	14
Pala1	alata	F	15	9.495130622	13.47480348	12.38013962	11.9293986	1	15
Pala7	alata	F	15	6.914572717	15.35304254	-0.989194208	22.33348688	1	15
Pcri5	cristalina	G	15	14.96241145	20.90564274	27.74563179	9.501425867	1	15
Pedm4	edmundoi	C	15	-11.22773678	-8.577890406	-30.7309177	5.676070637	1	15
Pedu1	edulis	F	15	25.32059389	-10.37201988	-17.39207027	17.96958056	1	15
Pedu2	edulis	F	15	23.98604752	-10.80660914	-17.32240368	18.07911682	1	15
Pfii1	foetida	D	15	5.619317733	25.52750647	-0.414690026	-9.645514581	1	15
Pgal1	galbana	G	15	14.15865027	-3.790513873	17.49501266	16.17824213	1	15
Pgal3	galbana	G	15	3.05095046	5.06450869	9.510892322	23.40102825	1	15
Pgal7	galbana	G	15	9.655959585	26.86646639	9.450801628	25.86053505	1	15
Pgib1	gibertii	C	15	-7.620956941	-1.007627821	-29.17203985	8.837317298	1	15
Pgib2	gibertii	C	15	-4.554655419	-0.76342629	-33.63030318	8.533245267	1	15
Phat7	hatschbachii	C	15	-9.066651395	14.73222563	-28.61067428	17.88794162	1	15
Pmaf5	maliformis	G	15	10.54751707	-0.02197723	10.31002305	20.96115691	1	15
Pmal5	malacophylla	G	15	16.60957149	2.878242387	31.60018281	8.612658522	1	15
Pmie2	miersii	E	15	12.25450753	-5.167830464	14.55836162	-11.53698358	1	15
Pmis3	misera	A	15	2.192717558	-12.83930232	-14.87359512	-31.05368985	1	15
Pmuc4	mucronata	G	15	8.371004049	30.32277345	30.34701388	12.21433369	1	15
Porg4	organensis	B	16	4.160770553	-11.95637865	3.592265381	-15.58389289	1	15
Prub4	rubra	B	15	1.591850783	-11.0796157	13.45882093	-23.98137039	1	15
Psid1	sidifolia	E	15	4.052587657	-0.882549365	5.462726993	5.623202173	1	15
Psub9	suberosa	C	15	0.358901468	-17.27068938	-24.7392084	19.07866455	1	15
Ptri1	tricuspis	B	15	0.961347189	-5.919682863	3.201555439	-23.0386263	1	15
Ptri2	tricuspis	B	15	6.895229863	11.41684462	-3.980247601	-30.4752822	1	15
Pvil1	villosa	F	15	9.058109644	-14.74186296	-9.111951513	15.01990999	1	15
Pact1	actinia	E	17	7.498497947	-1.59724224	7.446517961	-10.26972392	1	16
Pact4	actinia	E	16	10.55118845	8.543578002	6.128716314	-11.23523153	1	16
Pame1	amethystina	D	16	1.002036191	25.10406283	-10.53726979	21.62441451	1	16
Pbif4	biflora	B	16	6.897777186	-10.54464721	0.615581662	-21.73079718	1	16
Pcae1	caerulea	C	16	3.253698751	-9.392604244	-34.24683571	14.6112842	1	16
Pcap4	capsularis	B	16	13.50055165	-16.71555076	12.12731435	-28.87684945	1	16
Pcoc1	coccinea	G	16	16.63850531	14.14580939	27.70515972	9.185987126	1	16
Pcoc3	coccinea	G	16	10.31416433	22.40525999	13.45656783	15.63267904	1	16
Pcri2	cristalina	G	16	3.151868132	22.17285869	10.84052743	18.25166959	1	16
Pedm2	edmundoi	C	16	1.438691186	-14.98654566	-27.80777868	5.070763289	1	16
Pedm3	edmundoi	C	16	1.293561452	-15.29648408	-25.99571411	10.72873309	1	16
Pfii2	foetida	D	16	1.573240569	-10.16696118	-6.778754502	13.97476328	1	16
Pgal6	galbana	G	16	8.818941717	26.81255678	10.72432217	26.43492155	1	16
Pgib3	gibertii	C	16	37.54699847	16.55968299	-25.4121342	17.40546899	1	16
Pmaf3	maliformis	G	16	-7.32441163	24.3535204	14.00703801	-13.4608894	1	16
Pmal4	malacophylla	G	16	5.364716499	15.39452796	31.14908454	8.293602443	1	16
Pmic1	micropetala	B	16	-1.356472721	-4.640063684	4.171683802	-13.0503169	1	16
Pmie1	miersii	E	16	9.562049314	9.703102039	18.56606861	0.650395871	1	16
Pmie6	miersii	E	16	-1.247654434	24.81288051	23.61993619	5.72951483	1	16
Pmis5	misera	A	16	3.107282509	-13.03413527	-13.18583166	-22.39503093	1	16
Pmuc1	mucronata	G	16	13.33254203	-2.202489995	15.21988561	21.07191161	1	16
Porg1	organensis	B	16	13.04574095	-16.25504596	-0.148697324	-27.21323719	1	16
Pset1	setacea	C	16	-19.7186118	-2.499281292	-33.27228237	17.28372246	1	16
Psub11	suberosa	C	16	-7.918241024	-18.41235668	-34.91357937	14.54738905	1	16
Ptlo5	triloba	E	16	1.410758509	4.542459557	7.78881023	-16.5978247	1	16
Ptri8	tricuspis	B	16	-0.371958287	-16.39606659	-17.44244793	-14.09761499	1	16
Pcae3	caerulea	C	17	1.428723961	23.85412796	-21.89325705	-9.721247012	1	17
Pcap5	capsularis	B	17	5.916197267	-11.41003001	10.65644891	-30.32475648	1	17
Pcoc2	coccinea	G	17	11.69533278	21.43581399	29.25379236	6.483475557	1	17
Pcoc5	coccinea	G	17	12.27028174	15.38619569	5.572288816	21.85088775	1	17
Pcri3	cristalina	G	17	6.440243314	22.2943016	10.30651153	19.49817761	1	17
Pgal2	galbana	G	17	8.963630233	12.54577602	29.30563548	15.34846144	1	17
Pgal4	galbana	G	17	3.047104734	4.914365103	27.68831786	14.28868418	1	17
Pgra1	gracilis	D	18	-1.243488719	-7.137125845	-7.290763801	-13.81862783	1	17
Pmaf2	maliformis	G	17	6.930620827	7.462997531	31.46857516	6.73377918	1	17
Pmaf4	maliformis	G	17	9.11241125	8.420437124	19.32032323	9.011131461	1	17
Pset2	setacea	C	17	-28.22576343	1.342854519	-26.27927892	13.77875235	1	17
Pset3	setacea	C	17	-11.67829562	2.159006133	-26.20076286	14.38075542	1	17
Pbif3	biflora	B	18	2.54663839	-11.59059136	-1.489262408	-25.067103	1	18
Pedm1	edmundoi	C	18	8.932398287	-14.34085742	-26.43829013	2.270754351	1	18
Pfoe1	foetida	D	18	11.61292187	-15.45774903	-7.534090557	10.29731221	1	18
Pker2	kermesina	C	18	-12.2397481	-12.09333258	-24.18817795	6.276273985	1	18
Pset4	setacea	C	18	-14.98148886	6.347439072	-26.72791717	15.94371829	1	18
Pcri1	cristalina	G	19	8.776964451	20.36184981	13.18282768	18.25883342	1	19
Pgra2	gracilis	D	19	-2.818643975	-14.47188019	-7.470089421	-13.64161052	1	19
Ptlo3	triloba	E	19	18.21482706	-9.77161909	33.35232548	13.99557472	1	19
Pfoe5	foetida	D	20	3.787327318	-2.887007174	-8.775817837	11.22905656	1	20
Pmis7	misera	A	21	2.413970641	-19.28461806	-13.06239244	-22.87798651	1	21
Prac7	racemosa	F	21	4.983957158	-3.306385693	7.438013141	28.15971232	1	21
Psid5	sidifolia	E	21	15.33512431	-8.092399216	7.900323392	16.25047009	1	21
Ptri7	tricuspis	B	21	-1.374367599	-8.007295824	-19.70307761	-9.939565211	1	21
Pact3	actinia	E	23	2.516465262	-0.886959381	22.82335526	-9.679332422	1	22
Pmie5	miersii	E	22	12.56198593	-1.352739721	12.88868935	-3.590954923	1	22
Prac4	racemosa	F	22	7.714902684	29.15615294	13.37099215	27.69772852	1	22
Ptri4	tricuspis	B	22	-2.80064438	-14.49888871	-16.63757446	0.90474205	1	22
Ptri5	tricuspis	B	22	9.035683416	-16.82903351	-18.78205075	-11.51453118	1	22
Ptri6	tricuspis	B	22	-2.492615699	-2.757268788	-19.67791491	-9.912302387	1	22
Pmuc3	mucronata	G	23	5.399951044	15.42175292	23.7011027	17.20601538	1	23
Pten4	tenuifila	C	23	-17.96678726	-4.032639092	-18.70752348	5.04667441	1	23
Pfoe4	foetida	D	24	2.874920683	12.37625567	-8.717508669	11.05116469	1	24
Pker1	kermesina	C	24	8.363622225	10.2350383	-25.620817	12.90718343	1	24
Prac5	racemosa	F	24	6.304366106	28.0628954	25.11621198	1.54898267	1	24
Prac6	racemosa	F	24	1.390018908	18.24792235	25.92021916	7.032604833	1	24
Pact5	actinia	E	25	8.399369102	8.094679303	29.44805142	-0.592828328	1	25
Pmie4	miersii	E	25	3.782126229	28.79825709	15.00080621	5.140225656	1	25
Pmis4	misera	A	27	-5.680328764	-21.94752148	-18.30825047	-29.22089588	1	27
Psid6	sidifolia	E	28	9.438586466	5.289850812	-5.944662444	-3.849792156	1	28
Pmol3	mollissima	C	9	-21.05751257	-6.766244939	-24.26306264	4.943265083	2	9
Psub1	suberosa	C	9	-11.4281679	2.151997997	-34.41255544	14.61010039	2	9
Pcor9	coriacea	A	10	-10.71767815	-30.77343099	-11.14456854	-30.64528636	2	10
Plig3	ligularis	F	11	-7.395815456	24.34080368	33.70687652	10.45750344	2	10
Pcap1	capsularis	B	11	0.211351943	9.687800185	13.65482254	-24.10723301	2	11
Pcor10	coriacea	A	11	-15.41149276	-25.4215941	-13.82845685	-27.44999741	2	11
Pcor11	coriacea	A	11	-4.446292964	-10.46275278	-11.70301098	-24.12225088	2	11
Pcor8	coriacea	A	12	-9.189488122	-30.14751933	-12.80773742	-25.80462767	2	12
Psid2	sidifolia	E	12	14.9079443	-8.398048347	11.4170575	2.179074812	2	12
Pcor4	coriacea	A	13	-17.46192066	-32.05510246	-12.25016028	-31.22725171	2	13
Pten2	tenuifila	C	13	0.574129517	7.830092804	-12.3613389	20.2623023	2	13
Pmie3	miersii	E	14	15.31494523	-1.851097146	12.19868253	10.66198095	2	14
Pmis1	misera	A	14	11.47183776	-6.204670492	-14.41785176	-27.27436954	2	14
Pmol4	mollissima	C	14	-19.37496685	-4.364287348	-31.35934805	5.994362907	2	14
Pvil4	villosa	F	15	9.195370475	7.563916563	-14.75758632	7.750767259	2	15
Pedm5	edmundoi	C	16	-31.70941396	3.717492017	-24.59377314	7.180737367	2	16
Psub8	suberosa	C	17	-7.602189638	1.158016995	-27.99373124	19.50273317	2	17
Pker3	kermesina	C	20	-1.299835566	-7.170701668	-25.55955094	4.244984726	2	20
Pmuc5	mucronata	G	20	3.979461546	26.48330989	19.20511366	21.76984319	2	20
Pcae2	caerulea	C	21	14.27840871	-1.124723593	-22.04353891	-11.89234549	2	21
Pcap3	capsularis	B	10	11.47508941	-27.13123899	8.969840382	-27.36198534	3	10
Pmic5	micropetala	B	10	-4.681152885	-17.04943037	-0.890587042	-18.25544346	3	10
Pmol1	mollissima	C	10	-19.07399427	-4.653626951	-31.86082299	1.894660332	3	10
Ppoh1	pohlii	B	11	6.866845844	-25.47645597	8.520632247	-27.01174794	3	11
Plig5	ligularis	F	13	31.58903246	17.49390249	33.57761105	10.64005041	3	13
Plig7	ligularis	F	13	34.01421683	13.63859452	32.69735987	9.726879387	3	13
Pmin7	miniata	G	13	10.78350281	14.05326659	29.87837414	8.385289776	3	13
Pset5	setacea	C	16	-31.03690381	0.834326492	-28.74530984	14.63815337	3	16
Pfoe6	foetida	D	21	-1.53222015	4.960309587	-8.40240859	10.26012592	3	21
Porg3	organensis	B	21	1.929388032	-19.45871684	1.611777059	-21.39676195	3	21
Psid4	sidifolia	E	23	5.42748949	-0.224431729	-6.809616445	-1.006790914	3	22
Pmie7	miersii	E	25	6.77955795	29.8479184	14.90805999	-4.464276912	3	25
Plig4	ligularis	F	14	35.59888659	17.10392634	33.53937646	10.63032345	4	14
Pgib5	gibertii	C	17	-27.01864074	1.101613242	-22.66223267	13.06321522	4	17
Porg2	organensis	B	13	2.836494838	-26.11677167	2.80871482	-14.0525713	5	13
Pgib4	gibertii	C	18	-26.90170162	0.094428208	-33.32113715	12.48750708	7	18
Psid3	sidifolia	E	20	4.190414134	-8.269826926	10.71725197	1.053523238	7	20
