Trait1	Trait2	pval	BH	rho	order1	order2	order_var1	order_var2	BH.NA
B6	A19	0.249499252	0.38689809	-0.020359674	13	82	x013_B6	x082_A19	NA
B6	A2	0.033711461	0.071489284	-0.037534211	13	100	x013_B6	x100_A2	NA
B6	A20	0.059738253	0.118507884	0.033280693	13	96	x013_B6	x096_A20	NA
B6	A3	0.141669723	0.245685116	0.025980834	13	69	x013_B6	x069_A3	NA
B6	A4	0.905009001	0.940299647	0.002110078	13	92	x013_B6	x092_A4	NA
B6	A5	0.02084489	0.046266241	0.040841773	13	101	x013_B6	x101_A5	0.046266241
B6	A6	0.088914773	0.167465934	-0.03007262	13	97	x013_B6	x097_A6	NA
B6	A7	0.029057194	0.062324822	0.0385799	13	84	x013_B6	x084_A7	NA
B6	A8	0.696556285	0.803600498	-0.006895354	13	93	x013_B6	x093_A8	NA
B6	A9	0.265126198	0.405777778	0.019701935	13	83	x013_B6	x083_A9	NA
B6	B1	0.285856344	0.430808978	-0.018869339	13	26	x013_B6	x026_B1	NA
B6	B10	0	0	0.27626738	13	2	x013_B6	x002_B10	0
B6	B11	0	0	-0.146387592	13	6	x013_B6	x006_B11	0
B6	B12	0	0	0.365237206	13	14	x013_B6	x014_B12	0
B6	B13	5.08E-08	1.86E-07	-0.096116826	13	9	x013_B6	x009_B13	0.000000186
B6	B14	0	0	0.170442417	13	4	x013_B6	x004_B14	0
B6	B15	0	0	-0.24335207	13	15	x013_B6	x015_B15	0
B6	B16	0	0	0.190806672	13	16	x013_B6	x016_B16	0
B6	B17	3.30E-05	0.000101147	-0.0733108	13	7	x013_B6	x007_B17	0.000101147
B6	B18	0	0	0.248973295	13	17	x013_B6	x017_B18	0
B6	B19	0.002125186	0.005489225	-0.054281242	13	10	x013_B6	x010_B19	0.005489225
B6	B2	0.032415622	0.068985323	0.037812252	13	25	x013_B6	x025_B2	NA
B6	B20	6.39E-13	2.92E-12	0.126651078	13	8	x013_B6	x008_B20	2.92E-12
B6	B3	0	0	-0.22758992	13	23	x013_B6	x023_B3	0
B6	B4	6.24E-11	2.62E-10	0.115217686	13	1	x013_B6	x001_B4	2.62E-10
B6	B5	0.630760162	0.749090169	0.008498738	13	5	x013_B6	x005_B5	NA
B6	B6	NA	NA	1	13	13	x013_B6	x013_B6	NA
B6	B7	2.80E-14	1.36E-13	-0.133907169	13	11	x013_B6	x011_B7	1.36E-13
B6	B8	0	0	0.205558956	13	3	x013_B6	x003_B8	0
B6	B9	0	0	-0.32525447	13	12	x013_B6	x012_B9	0
B6	C1	2.16E-05	6.73E-05	-0.074995883	13	21	x013_B6	x021_C1	0.0000673
B6	C10	0.008874303	0.020953702	-0.046246056	13	30	x013_B6	x030_C10	0.020953702
B6	C11	3.44E-12	1.52E-11	0.122575358	13	35	x013_B6	x035_C11	1.52E-11
B6	C12	0.003569885	0.008932161	-0.05148818	13	29	x013_B6	x029_C12	0.008932161
B6	C13	0.000548541	0.001520343	-0.061048869	13	33	x013_B6	x033_C13	0.001520343
B6	C14	4.51E-08	1.66E-07	-0.096486285	13	31	x013_B6	x031_C14	0.000000166
B6	C15	0.000523566	0.00145381	0.061269999	13	40	x013_B6	x040_C15	0.00145381
B6	C16	0.001037812	0.002789993	-0.057948854	13	37	x013_B6	x037_C16	0.002789993
B6	C17	0.764557478	0.852385593	-0.005295692	13	39	x013_B6	x039_C17	NA
B6	C18	0.052692864	0.105862507	0.03424722	13	36	x013_B6	x036_C18	NA
B6	C19	0.560962814	0.696844607	-0.010280147	13	41	x013_B6	x041_C19	NA
B6	C2	0.704560111	0.809345285	-0.006704374	13	19	x013_B6	x019_C2	NA
B6	C20	1.40E-07	4.98E-07	-0.092901289	13	38	x013_B6	x038_C20	0.000000498
B6	C3	3.86E-14	1.87E-13	-0.133170947	13	22	x013_B6	x022_C3	1.87E-13
B6	C4	0	0	0.210910439	13	20	x013_B6	x020_C4	0
B6	C5	0	0	0.159185395	13	24	x013_B6	x024_C5	0
B6	C6	2.55E-08	9.46E-08	-0.098246604	13	18	x013_B6	x018_C6	9.46E-08
B6	C7	8.13E-06	2.61E-05	-0.078768499	13	34	x013_B6	x034_C7	0.0000261
B6	C8	0	0	-0.197982088	13	28	x013_B6	x028_C8	0
B6	C9	0.34337809	0.495082166	0.01675255	13	32	x013_B6	x032_C9	NA
B6	D1	0.761387863	0.849687311	0.005369199	13	51	x013_B6	x051_D1	NA
B6	D10	0.857485905	0.909845664	-0.003175211	13	77	x013_B6	x077_D10	NA
B6	D11	0.798450329	0.872749902	0.004515084	13	88	x013_B6	x088_D11	NA
B6	D12	0.924306984	0.950955959	-0.001679946	13	76	x013_B6	x076_D12	NA
B6	D13	0.396739623	0.54993157	-0.014983762	13	90	x013_B6	x090_D13	NA
B6	D14	0.933764989	0.957564336	-0.001469514	13	78	x013_B6	x078_D14	NA
B6	D15	0.165942202	0.278740124	-0.024492016	13	105	x013_B6	x105_D15	NA
B6	D16	0.19430363	0.31843911	-0.022947134	13	109	x013_B6	x109_D16	NA
B6	D17	0.321707544	0.471664644	0.017520538	13	106	x013_B6	x106_D17	NA
B6	D18	0.659854726	0.773920697	0.007781892	13	108	x013_B6	x108_D18	NA
B6	D19	0.554818955	0.69197446	-0.01044179	13	107	x013_B6	x107_D19	NA
B6	D2	0.6568557	0.771824759	-0.007855175	13	70	x013_B6	x070_D2	NA
B6	D20	0.015617234	0.035517951	-0.042730503	13	110	x013_B6	x110_D20	0.035517951
B6	D3	0.071223029	0.137754108	-0.031890813	13	50	x013_B6	x050_D3	NA
B6	D4	0.750318869	0.842242363	-0.005626644	13	102	x013_B6	x102_D4	NA
B6	D5	0.017724145	0.039945957	0.041911013	13	103	x013_B6	x103_D5	0.039945957
B6	D6	0.878844848	0.92384269	-0.0026953	13	67	x013_B6	x067_D6	NA
B6	D7	0.120553926	0.215416032	-0.027445011	13	104	x013_B6	x104_D7	NA
B6	D8	0.533145007	0.673594166	-0.01101919	13	75	x013_B6	x075_D8	NA
B6	D9	0.61553767	0.737416606	0.00887936	13	89	x013_B6	x089_D9	NA
B6	x1	0.241426892	0.37839326	0.020710746	13	59	x013_B6	x059_x1	NA
B6	x10	0.980726435	0.987645721	0.00042716	13	65	x013_B6	x065_x10	NA
B6	x11	0.015236095	0.034716985	0.042889033	13	27	x013_B6	x027_x11	0.034716985
B6	x12	0.513269657	0.656507701	-0.011559188	13	66	x013_B6	x066_x12	NA
B6	x13	0.691426788	0.799441387	0.007018171	13	49	x013_B6	x049_x13	NA
B6	x14	0.819017515	0.88557797	0.004045738	13	73	x013_B6	x073_x14	NA
B6	x15	0.997353518	0.998352704	5.86E-05	13	74	x013_B6	x074_x15	NA
B6	x2	0.348424508	0.500086605	0.016578207	13	60	x013_B6	x060_x2	NA
B6	x3	0.022564177	0.049769036	0.040311128	13	61	x013_B6	x061_x3	0.049769036
B6	x4	0.007251819	0.017417731	0.047449876	13	62	x013_B6	x062_x4	0.017417731
B6	x5	0.011434138	0.026558564	0.04469749	13	57	x013_B6	x057_x5	0.026558564
B6	x6	0.004252167	0.010533778	0.050516892	13	58	x013_B6	x058_x6	0.010533778
B6	x7	0.222352953	0.354900414	-0.021574523	13	71	x013_B6	x071_x7	NA
B6	x8	0.23559847	0.371438856	-0.020969393	13	72	x013_B6	x072_x8	NA
B6	x9	0.175750483	0.292592097	-0.023936965	13	48	x013_B6	x048_x9	NA
B6	y1	0.167077468	0.280254455	0.024426533	13	44	x013_B6	x044_y1	NA
B6	y10	0.92308964	0.950811524	-0.001707047	13	63	x013_B6	x063_y10	NA
B6	y11	0.790173966	0.868282732	0.004704834	13	52	x013_B6	x052_y11	NA
B6	y12	0.777849733	0.859894735	0.004988403	13	64	x013_B6	x064_y12	NA
B6	y13	0.608662066	0.732128629	-0.009052624	13	87	x013_B6	x087_y13	NA
B6	y14	0.104730731	0.19194764	-0.02868	13	55	x013_B6	x055_y14	NA
B6	y15	0.022680292	0.049988364	-0.040276572	13	56	x013_B6	x056_y15	0.049988364
B6	y2	0.202656203	0.32969442	0.022524133	13	45	x013_B6	x045_y2	NA
B6	y3	0.342601165	0.494675815	0.016779536	13	46	x013_B6	x046_y3	NA
B6	y4	0.414947932	0.567300536	0.014413772	13	47	x013_B6	x047_y4	NA
B6	y5	0.234563282	0.370575418	0.021015802	13	42	x013_B6	x042_y5	NA
B6	y6	0.179942795	0.29882467	0.023706764	13	43	x013_B6	x043_y6	NA
B6	y7	0.752111872	0.84310222	-0.005584862	13	53	x013_B6	x053_y7	NA
B6	y8	0.443303229	0.591893732	-0.013554736	13	54	x013_B6	x054_y8	NA
B6	y9	0.349613636	0.501299628	-0.016537359	13	86	x013_B6	x086_y9	NA
B12	A1	0.860544368	0.911477648	0.003106356	14	68	x014_B12	x068_A1	NA
B12	A10	0.772746963	0.85747822	-0.005106185	14	91	x014_B12	x091_A10	NA
B12	A11	0.855320555	0.90885954	0.003223989	14	80	x014_B12	x080_A11	NA
B12	A12	0.083692018	0.158927352	-0.030576279	14	98	x014_B12	x098_A12	NA
B12	A13	0.445482261	0.593757973	0.013490051	14	85	x014_B12	x085_A13	NA
B12	A14	0.4771249	0.622494837	0.012570113	14	95	x014_B12	x095_A14	NA
B12	A15	0.092785618	0.173394569	0.029714501	14	81	x014_B12	x081_A15	NA
B12	A16	0.201247114	0.328114346	0.02259459	14	94	x014_B12	x094_A16	NA
B12	A17	0.82249564	0.887963508	-0.003966657	14	79	x014_B12	x079_A17	NA
B12	A18	0.483178556	0.627933112	0.012398002	14	99	x014_B12	x099_A18	NA
B12	A19	0.272388119	0.414458572	-0.019405371	14	82	x014_B12	x082_A19	NA
B12	A2	0.431978327	0.58195732	-0.01389389	14	100	x014_B12	x100_A2	NA
B12	A20	0.101054564	0.186349464	0.028987883	14	96	x014_B12	x096_A20	NA
B12	A3	0.047146496	0.095973938	0.035087273	14	69	x014_B12	x069_A3	NA
B12	A4	0.791567611	0.868923691	-0.004672845	14	92	x014_B12	x092_A4	NA
B12	A5	0.741974868	0.836430864	0.005821498	14	101	x014_B12	x101_A5	NA
B12	A6	0.004774787	0.011760415	-0.049864344	14	97	x014_B12	x097_A6	0.011760415
B12	A7	0.057988611	0.115265824	0.033511486	14	84	x014_B12	x084_A7	NA
B12	A8	0.485194301	0.629188802	0.012340953	14	93	x014_B12	x093_A8	NA
B12	A9	0.009103217	0.021435108	0.046092372	14	83	x014_B12	x083_A9	0.021435108
B12	B1	0.220726707	0.352962553	0.021650577	14	26	x014_B12	x026_B1	NA
B12	B10	0	0	0.327049673	14	2	x014_B12	x002_B10	0
B12	B11	0	0	-0.17257008	14	6	x014_B12	x006_B11	0
B12	B12	NA	NA	1	14	14	x014_B12	x014_B12	NA
B12	B13	3.65E-11	1.55E-10	-0.116610952	14	9	x014_B12	x009_B13	1.55E-10
B12	B14	0	0	0.29626599	14	4	x014_B12	x004_B14	0
B12	B15	0	0	-0.420708895	14	15	x014_B12	x015_B15	0
B12	B16	0	0	0.388327867	14	16	x014_B12	x016_B16	0
B12	B17	0	0	-0.226165757	14	7	x014_B12	x007_B17	0
B12	B18	0	0	0.396551669	14	17	x014_B12	x017_B18	0
B12	B19	0	0	-0.180018336	14	10	x014_B12	x010_B19	0
B12	B2	0.002743222	0.006959634	0.052922331	14	25	x014_B12	x025_B2	0.006959634
B12	B20	0	0	0.20533739	14	8	x014_B12	x008_B20	0
B12	B3	7.60E-07	2.60E-06	-0.087277927	14	23	x014_B12	x023_B3	0.0000026
B12	B4	0.001810576	0.004719304	0.05511938	14	1	x014_B12	x001_B4	0.004719304
B12	B5	2.92E-13	1.36E-12	-0.12850374	14	5	x014_B12	x005_B5	1.36E-12
B12	B6	0	0	0.365237206	14	13	x014_B12	x013_B6	0
B12	B7	0	0	-0.206554413	14	11	x014_B12	x011_B7	0
B12	B8	0	0	0.259856254	14	3	x014_B12	x003_B8	0
B12	B9	0	0	-0.379659861	14	12	x014_B12	x012_B9	0
B12	C1	5.16E-11	2.18E-10	-0.115711503	14	21	x014_B12	x021_C1	2.18E-10
B12	C10	1.23E-10	5.09E-10	0.113427967	14	30	x014_B12	x030_C10	5.09E-10
B12	C11	0	0	0.169983834	14	35	x014_B12	x035_C11	0
B12	C12	7.97E-08	2.88E-07	0.094700888	14	29	x014_B12	x029_C12	0.000000288
B12	C13	0	0	-0.247235224	14	33	x014_B12	x033_C13	0
B12	C14	4.21E-11	1.78E-10	-0.116244204	14	31	x014_B12	x031_C14	1.78E-10
B12	C15	0.068923692	0.1340245	0.032153483	14	40	x014_B12	x040_C15	NA
B12	C16	0.018388052	0.041348978	-0.041670483	14	37	x014_B12	x037_C16	0.041348978
B12	C17	0.22037166	0.352677016	-0.021667235	14	39	x014_B12	x039_C17	NA
B12	C18	0.414182029	0.566641091	-0.014437445	14	36	x014_B12	x036_C18	NA
B12	C19	0.002478758	0.006339657	-0.05346553	14	41	x014_B12	x041_C19	0.006339657
B12	C2	1.29E-06	4.36E-06	0.08544822	14	19	x014_B12	x019_C2	0.00000436
B12	C20	2.47E-06	8.22E-06	-0.083145432	14	38	x014_B12	x038_C20	0.00000822
B12	C3	6.69E-07	2.29E-06	-0.087713264	14	22	x014_B12	x022_C3	0.00000229
B12	C4	5.87E-08	2.14E-07	0.095664017	14	20	x014_B12	x020_C4	0.000000214
B12	C5	0.019079875	0.042728371	0.041427791	14	24	x014_B12	x024_C5	0.042728371
B12	C6	8.58E-09	3.28E-08	0.101523951	14	18	x014_B12	x018_C6	3.28E-08
B12	C7	3.40E-12	1.50E-11	-0.122603722	14	34	x014_B12	x034_C7	1.5E-11
B12	C8	0.997973321	0.998639636	-4.49E-05	14	28	x014_B12	x028_C8	NA
B12	C9	7.92E-08	2.87E-07	-0.094718657	14	32	x014_B12	x032_C9	0.000000287
B12	D1	0.55045073	0.688158669	-0.010557249	14	51	x014_B12	x051_D1	NA
B12	D10	0.554726993	0.69197446	0.010444216	14	77	x014_B12	x077_D10	NA
B12	D11	0.94068745	0.962412552	0.00131563	14	88	x014_B12	x088_D11	NA
B12	D12	0.110798038	0.200978589	-0.028190108	14	76	x014_B12	x076_D12	NA
B12	D13	0.774553484	0.857993793	-0.005064461	14	90	x014_B12	x090_D13	NA
B12	D14	0.918775234	0.947704323	0.00180313	14	78	x014_B12	x078_D14	NA
B12	D15	0.722362422	0.82205063	-0.006282344	14	105	x014_B12	x105_D15	NA
B12	D16	0.155134888	0.263989115	-0.025132954	14	109	x014_B12	x109_D16	NA
B12	D17	0.023546809	0.051500591	0.040023439	14	106	x014_B12	x106_D17	NA
B12	D18	0.114581443	0.206467012	0.027895255	14	108	x014_B12	x108_D18	NA
B12	D19	0.099317269	0.183484445	-0.029136494	14	107	x014_B12	x107_D19	NA
B12	D2	0.668271667	0.78131249	-0.007576924	14	70	x014_B12	x070_D2	NA
B12	D20	0.047303212	0.096227607	-0.035062425	14	110	x014_B12	x110_D20	NA
B12	D3	0.74718709	0.839622606	-0.005699697	14	50	x014_B12	x050_D3	NA
B12	D4	0.332272585	0.483488871	0.017142082	14	102	x014_B12	x102_D4	NA
B12	D5	0.136041781	0.237706348	0.026353601	14	103	x014_B12	x103_D5	NA
B12	D6	0.231994763	0.36706482	-0.021131584	14	67	x014_B12	x067_D6	NA
B12	D7	0.087979869	0.165965801	-0.030160991	14	104	x014_B12	x104_D7	NA
B12	D8	0.154368369	0.26298334	-0.025179682	14	75	x014_B12	x075_D8	NA
B12	D9	0.114379439	0.206164985	0.027910803	14	89	x014_B12	x089_D9	NA
B12	x1	0.348172535	0.50007052	0.016586874	14	59	x014_B12	x059_x1	NA
B12	x10	0.367988757	0.519814467	0.015916994	14	65	x014_B12	x065_x10	NA
B12	x11	0.000159858	0.000467259	0.06667868	14	27	x014_B12	x027_x11	0.000467259
B12	x12	0.275513021	0.418152041	-0.01927942	14	66	x014_B12	x066_x12	NA
B12	x13	0.728292638	0.825508483	-0.006142562	14	49	x014_B12	x049_x13	NA
B12	x14	0.616935745	0.738158936	-0.008844233	14	73	x014_B12	x073_x14	NA
B12	x15	0.930753047	0.956274981	-0.001536503	14	74	x014_B12	x074_x15	NA
B12	x2	0.163910444	0.276567158	0.024610056	14	60	x014_B12	x060_x2	NA
B12	x3	0.531188674	0.671830401	-0.01107188	14	61	x014_B12	x061_x3	NA
B12	x4	0.593505708	0.722596816	-0.009437683	14	62	x014_B12	x062_x4	NA
B12	x5	0.435172193	0.584945583	-0.013797728	14	57	x014_B12	x057_x5	NA
B12	x6	0.607128734	0.731830228	-0.009091382	14	58	x014_B12	x058_x6	NA
B12	x7	0.759158835	0.847989047	0.005420949	14	71	x014_B12	x071_x7	NA
B12	x8	0.976232544	0.984608698	0.000526785	14	72	x014_B12	x072_x8	NA
B12	x9	0.710828802	0.814098088	-0.006555342	14	48	x014_B12	x048_x9	NA
B12	y1	0.022934871	0.050382761	0.040201344	14	44	x014_B12	x044_y1	NA
B12	y10	0.859336531	0.911003095	0.003133542	14	63	x014_B12	x063_y10	NA
B12	y11	0.558840716	0.694928457	-0.010335881	14	52	x014_B12	x052_y11	NA
B12	y12	0.748500027	0.840625265	-0.005669059	14	64	x014_B12	x064_y12	NA
B12	y13	0.687470534	0.797568765	-0.007113129	14	87	x014_B12	x087_y13	NA
B12	y14	0.016362456	0.037044155	-0.042430125	14	55	x014_B12	x055_y14	0.037044155
B12	y15	0.001928639	0.005016136	-0.054790236	14	56	x014_B12	x056_y15	0.005016136
B12	y2	0.023963982	0.052336638	0.039904442	14	45	x014_B12	x045_y2	NA
B12	y3	0.473480725	0.619303839	0.012674296	14	46	x014_B12	x046_y3	NA
B12	y4	0.198281039	0.323806818	0.022744082	14	47	x014_B12	x047_y4	NA
B12	y5	0.032828495	0.069764915	0.037722647	14	42	x014_B12	x042_y5	NA
B12	y6	0.023721391	0.0518446	0.039973419	14	43	x014_B12	x043_y6	NA
B12	y7	0.711555341	0.814545402	-0.0065381	14	53	x014_B12	x053_y7	NA
B12	y8	0.751499073	0.842736168	0.005599138	14	54	x014_B12	x054_y8	NA
B12	y9	0.980957777	0.987708383	-0.000422032	14	86	x014_B12	x086_y9	NA
B15	A1	0.700592032	0.805996782	0.006798957	15	68	x015_B15	x068_A1	NA
B15	A10	0.472492538	0.618335028	-0.012702623	15	91	x015_B15	x091_A10	NA
B15	A11	0.120488515	0.215363342	0.027449846	15	80	x015_B15	x080_A11	NA
B15	A12	0.115816504	0.208191887	0.027800662	15	98	x015_B15	x098_A12	NA
B15	A13	0.795264439	0.870319516	0.004588064	15	85	x015_B15	x085_A13	NA
B15	A14	0.096610749	0.179202178	-0.0293722	15	95	x015_B15	x095_A14	NA
B15	A15	0.654635852	0.769819916	0.007909506	15	81	x015_B15	x081_A15	NA
B15	A16	0.38317873	0.535842427	-0.015418586	15	94	x015_B15	x094_A16	NA
B15	A17	0.146247916	0.252158831	0.025685899	15	79	x015_B15	x079_A17	NA
B15	A18	0.337253536	0.488878531	-0.016966354	15	99	x015_B15	x099_A18	NA
B15	A19	0.767894773	0.854406852	0.005218394	15	82	x015_B15	x082_A19	NA
B15	A2	0.648545511	0.764705277	0.008058952	15	100	x015_B15	x100_A2	NA
B15	A20	0.998651733	0.998985006	-2.99E-05	15	96	x015_B15	x096_A20	NA
B15	A3	0.166120909	0.278884024	-0.024481686	15	69	x015_B15	x069_A3	NA
B15	A4	0.054190219	0.108398519	-0.034033164	15	92	x015_B15	x092_A4	NA
B15	A5	0.405781018	0.55828399	0.014698823	15	101	x015_B15	x101_A5	NA
B15	A6	0.133877973	0.234540751	0.026500089	15	97	x015_B15	x097_A6	NA
B15	A7	0.169656471	0.284103504	-0.024279006	15	84	x015_B15	x084_A7	NA
B15	A8	0.124625847	0.22117583	-0.027147958	15	93	x015_B15	x093_A8	NA
B15	A9	0.067242848	0.131352517	-0.032350089	15	83	x015_B15	x083_A9	NA
B15	B1	0.009886971	0.023135203	0.045591075	15	26	x015_B15	x026_B1	0.023135203
B15	B10	0	0	-0.216429085	15	2	x015_B15	x002_B10	0
B15	B11	0	0	0.392226994	15	6	x015_B15	x006_B11	0
B15	B12	0	0	-0.420708895	15	14	x015_B15	x014_B12	0
B15	B13	0	0	0.29378289	15	9	x015_B15	x009_B13	0
B15	B14	0	0	-0.187842488	15	4	x015_B15	x004_B14	0
B15	B15	NA	NA	1	15	15	x015_B15	x015_B15	NA
B15	B16	0	0	-0.214222103	15	16	x015_B15	x016_B16	0
B15	B17	0	0	0.355728209	15	7	x015_B15	x007_B17	0
B15	B18	0	0	-0.392403543	15	17	x015_B15	x017_B18	0
B15	B19	0	0	0.348623544	15	10	x015_B15	x010_B19	0
B15	B2	0.000289699	0.000824275	-0.064019181	15	25	x015_B15	x025_B2	0.000824275
B15	B20	0	0	-0.207591206	15	8	x015_B15	x008_B20	0
B15	B3	2.23E-06	7.46E-06	0.083505444	15	23	x015_B15	x023_B3	0.00000746
B15	B4	0.751643474	0.842736168	0.005595774	15	1	x015_B15	x001_B4	NA
B15	B5	0	0	0.205951169	15	5	x015_B15	x005_B5	0
B15	B6	0	0	-0.24335207	15	13	x015_B15	x013_B6	0
B15	B7	0	0	0.204917073	15	11	x015_B15	x011_B7	0
B15	B8	0	0	-0.175121635	15	3	x015_B15	x003_B8	0
B15	B9	0	0	0.335327625	15	12	x015_B15	x012_B9	0
B15	C1	0.043421246	0.089392297	0.035699431	15	21	x015_B15	x021_C1	NA
B15	C10	0.252268239	0.390528036	-0.020241082	15	30	x015_B15	x030_C10	NA
B15	C11	0.063103799	0.124525107	-0.032852065	15	35	x015_B15	x035_C11	NA
B15	C12	0	0	-0.207141325	15	29	x015_B15	x029_C12	0
B15	C13	0	0	0.277719975	15	33	x015_B15	x033_C13	0
B15	C14	1.05E-09	4.18E-09	0.10756994	15	31	x015_B15	x031_C14	4.18E-09
B15	C15	0.652670343	0.76811125	-0.007957674	15	40	x015_B15	x040_C15	NA
B15	C16	5.97E-12	2.61E-11	-0.121210381	15	37	x015_B15	x037_C16	2.61E-11
B15	C17	0.053154402	0.106646801	-0.034180705	15	39	x015_B15	x039_C17	NA
B15	C18	0.000626868	0.001728644	-0.060411535	15	36	x015_B15	x036_C18	0.001728644
B15	C19	0.604267508	0.729477187	0.009163822	15	41	x015_B15	x041_C19	NA
B15	C2	0.001736454	0.004537944	-0.055336244	15	19	x015_B15	x019_C2	0.004537944
B15	C20	5.47E-05	0.000165564	0.071247324	15	38	x015_B15	x038_C20	0.000165564
B15	C3	1.14E-07	4.07E-07	0.093564063	15	22	x015_B15	x022_C3	0.000000407
B15	C4	1.72E-08	6.46E-08	-0.099435978	15	20	x015_B15	x020_C4	6.46E-08
B15	C5	0.231501217	0.366380621	0.021153936	15	24	x015_B15	x024_C5	NA
B15	C6	4.92E-07	1.70E-06	-0.088753983	15	18	x015_B15	x018_C6	0.0000017
B15	C7	1.07E-13	5.11E-13	0.130831912	15	34	x015_B15	x034_C7	5.11E-13
B15	C8	8.00E-06	2.57E-05	-0.078830704	15	28	x015_B15	x028_C8	0.0000257
B15	C9	2.22E-16	1.16E-15	0.144209936	15	32	x015_B15	x032_C9	1.16E-15
B15	D1	0.484355281	0.629054281	-0.012364683	15	51	x015_B15	x051_D1	NA
B15	D10	0.014589581	0.033357946	-0.043166105	15	77	x015_B15	x077_D10	0.033357946
B15	D11	0.004135194	0.010260965	-0.050672859	15	88	x015_B15	x088_D11	0.010260965
B15	D12	0.157674484	0.267778622	0.024979377	15	76	x015_B15	x076_D12	NA
B15	D13	0.001933457	0.005024375	0.054777201	15	90	x015_B15	x090_D13	0.005024375
B15	D14	0.943856526	0.963627363	-0.001245216	15	78	x015_B15	x078_D14	NA
B15	D15	0.904427241	0.939858088	-0.002123063	15	105	x015_B15	x105_D15	NA
B15	D16	0.926947251	0.953345131	-0.00162118	15	109	x015_B15	x109_D16	NA
B15	D17	0.819385137	0.885721943	-0.004037376	15	106	x015_B15	x106_D17	NA
B15	D18	0.43888616	0.58835477	0.013686418	15	108	x015_B15	x108_D18	NA
B15	D19	0.304810161	0.453234528	0.018143103	15	107	x015_B15	x107_D19	NA
B15	D2	0.266216531	0.407030886	0.019657055	15	70	x015_B15	x070_D2	NA
B15	D20	0.637099819	0.754884528	-0.008341385	15	110	x015_B15	x110_D20	NA
B15	D3	0.881418949	0.925574811	-0.002637604	15	50	x015_B15	x050_D3	NA
B15	D4	0.481915153	0.627106868	-0.012433824	15	102	x015_B15	x102_D4	NA
B15	D5	0.627376967	0.74640304	-0.008582985	15	103	x015_B15	x103_D5	NA
B15	D6	0.165727244	0.278613244	0.024504453	15	67	x015_B15	x067_D6	NA
B15	D7	0.950766036	0.96919612	-0.00109176	15	104	x015_B15	x104_D7	NA
B15	D8	0.027924669	0.060197191	0.038856015	15	75	x015_B15	x075_D8	NA
B15	D9	0.626035988	0.745485545	0.008616432	15	89	x015_B15	x089_D9	NA
B15	x1	0.584074019	0.71509489	-0.009679569	15	59	x015_B15	x059_x1	NA
B15	x10	0.091767164	0.171812663	-0.029807543	15	65	x015_B15	x065_x10	NA
B15	x11	0.006865611	0.016549795	-0.047771841	15	27	x015_B15	x027_x11	0.016549795
B15	x12	0.060636519	0.120051496	0.033164375	15	66	x015_B15	x066_x12	NA
B15	x13	0.220558721	0.352788028	-0.021658456	15	49	x015_B15	x049_x13	NA
B15	x14	0.596893748	0.725606072	-0.009351225	15	73	x015_B15	x073_x14	NA
B15	x15	0.663840208	0.777289462	-0.00768471	15	74	x015_B15	x074_x15	NA
B15	x2	0.37299983	0.52535167	-0.01575119	15	60	x015_B15	x060_x2	NA
B15	x3	0.548078922	0.685956814	-0.010620128	15	61	x015_B15	x061_x3	NA
B15	x4	0.87153109	0.918568667	0.002859391	15	62	x015_B15	x062_x4	NA
B15	x5	0.961054652	0.976363776	-0.000863406	15	57	x015_B15	x057_x5	NA
B15	x6	0.903440515	0.939158295	-0.00214509	15	58	x015_B15	x058_x6	NA
B15	x7	0.60421114	0.729477187	0.009165251	15	71	x015_B15	x071_x7	NA
B15	x8	0.328131175	0.478857448	0.01728949	15	72	x015_B15	x072_x8	NA
B15	x9	0.087743195	0.165623569	0.030183483	15	48	x015_B15	x048_x9	NA
B15	y1	0.632718743	0.750969881	-0.008450054	15	44	x015_B15	x044_y1	NA
B15	y10	0.962400124	0.977182121	0.000833554	15	63	x015_B15	x063_y10	NA
B15	y11	0.557992105	0.694017152	-0.010358198	15	52	x015_B15	x052_y11	NA
B15	y12	0.939805304	0.961784362	0.001335234	15	64	x015_B15	x064_y12	NA
B15	y13	0.153743746	0.262188484	0.025217891	15	87	x015_B15	x087_y13	NA
B15	y14	0.803617871	0.876900097	0.004396874	15	55	x015_B15	x055_y14	NA
B15	y15	0.604051714	0.729477187	0.009169292	15	56	x015_B15	x056_y15	NA
B15	y2	0.599582916	0.727368268	-0.009282759	15	45	x015_B15	x045_y2	NA
B15	y3	0.523916848	0.666005407	-0.011268605	15	46	x015_B15	x046_y3	NA
B15	y4	0.218547776	0.350225585	-0.02175311	15	47	x015_B15	x047_y4	NA
B15	y5	0.582464401	0.713501039	-0.00972103	15	42	x015_B15	x042_y5	NA
B15	y6	0.582284615	0.713426582	-0.009725664	15	43	x015_B15	x043_y6	NA
B15	y7	0.546963834	0.68499022	-0.010649737	15	53	x015_B15	x053_y7	NA
B15	y8	0.427274086	0.577076992	-0.01403628	15	54	x015_B15	x054_y8	NA
B15	y9	0.258500639	0.398076375	0.019977432	15	86	x015_B15	x086_y9	NA
B16	A1	0.972463365	0.982607287	0.000610357	16	68	x016_B16	x068_A1	NA
B16	A10	0.006092527	0.014769389	-0.048468463	16	91	x016_B16	x091_A10	0.014769389
B16	A11	0.712356725	0.814673813	0.006519088	16	80	x016_B16	x080_A11	NA
