Trait1	Trait2	pval	BH	rho	order1	order2	order_var1	order_var2	BH.NA
B4	D5	0.810427207	0.880803319	0.004241405	1	103	x001_B4	x103_D5	NA
B4	D6	0.329263828	0.480042959	0.017249055	1	67	x001_B4	x067_D6	NA
B4	D7	0.56329328	0.698878685	-0.010219058	1	104	x001_B4	x104_D7	NA
B4	D8	0.400300917	0.553077668	0.014871067	1	75	x001_B4	x075_D8	NA
B4	D9	0.131908385	0.231863093	0.026635028	1	89	x001_B4	x089_D9	NA
B4	x1	0.014581626	0.03335248	0.04316958	1	59	x001_B4	x059_x1	0.03335248
B4	x10	0.551044223	0.688374686	-0.010541536	1	65	x001_B4	x065_x10	NA
B4	x11	0.002858648	0.007228004	0.052700117	1	27	x001_B4	x027_x11	0.007228004
B4	x12	0.969868491	0.981161257	-0.000667899	1	66	x001_B4	x066_x12	NA
B4	x13	0.003623832	0.009055804	-0.051405493	1	49	x001_B4	x049_x13	0.009055804
B4	x14	0.001463396	0.003859682	-0.056216318	1	73	x001_B4	x073_x14	0.003859682
B4	x15	0.002389104	0.006123419	-0.05366176	1	74	x001_B4	x074_x15	0.006123419
B4	x2	0.007843286	0.018718352	0.046985429	1	60	x001_B4	x060_x2	0.018718352
B4	x3	0.011702233	0.027149724	0.044553693	1	61	x001_B4	x061_x3	0.027149724
B4	x4	0.073213134	0.141129497	0.031669021	1	62	x001_B4	x062_x4	NA
B4	x5	0.378919177	0.531248939	0.015557101	1	57	x001_B4	x057_x5	NA
B4	x6	0.13379025	0.234455583	0.026506066	1	58	x001_B4	x058_x6	NA
B4	x7	0.040120951	0.083428161	0.036280002	1	71	x001_B4	x071_x7	NA
B4	x8	0.063083547	0.124525107	0.032854587	1	72	x001_B4	x072_x8	NA
B4	x9	0.013268091	0.030522719	0.043767873	1	48	x001_B4	x048_x9	0.030522719
B4	y1	0.030751076	0.065698229	0.038183723	1	44	x001_B4	x044_y1	NA
B4	y10	0.044787808	0.091733143	-0.035469905	1	63	x001_B4	x063_y10	NA
B4	y11	0.803017261	0.876404239	0.004410603	1	52	x001_B4	x052_y11	NA
B4	y12	0.07808343	0.149385119	-0.03114632	1	64	x001_B4	x064_y12	NA
B4	y13	0.703241665	0.808269513	-0.006735779	1	87	x001_B4	x087_y13	NA
B4	y14	0.337281335	0.488878531	-0.016965378	1	55	x001_B4	x055_y14	NA
B4	y15	0.389529019	0.542445172	-0.015213822	1	56	x001_B4	x056_y15	NA
B4	y2	0.024758866	0.053954708	0.039682589	1	45	x001_B4	x045_y2	NA
B4	y3	0.053331401	0.10693035	0.034155324	1	46	x001_B4	x046_y3	NA
B4	y4	0.148293453	0.254660341	0.025556402	1	47	x001_B4	x047_y4	NA
B4	y5	0.044203241	0.090721818	0.035567354	1	42	x001_B4	x042_y5	NA
B4	y6	0.048056884	0.097496114	0.034943886	1	43	x001_B4	x043_y6	NA
B4	y7	0.338755059	0.490421777	0.016913708	1	53	x001_B4	x053_y7	NA
B4	y8	0.599206577	0.727368268	0.009292332	1	54	x001_B4	x054_y8	NA
B4	y9	0.161949747	0.273798289	-0.024725016	1	86	x001_B4	x086_y9	NA
B19	A1	0.845357234	0.904016521	0.00344875	10	68	x010_B19	x068_A1	NA
B19	A10	0.304185443	0.452504152	-0.018166551	10	91	x010_B19	x091_A10	NA
B19	A11	0.189515826	0.3121284	-0.023195645	10	80	x010_B19	x080_A11	NA
B19	A12	0.869882929	0.917963062	-0.002896402	10	98	x010_B19	x098_A12	NA
B19	A13	0.693894364	0.801521524	0.006959047	10	85	x010_B19	x085_A13	NA
B19	A14	0.65783586	0.772068516	-0.007831209	10	95	x010_B19	x095_A14	NA
B19	A15	0.398084102	0.551158012	-0.014941146	10	81	x010_B19	x081_A15	NA
B19	A16	0.380590397	0.532968799	-0.015502642	10	94	x010_B19	x094_A16	NA
B19	A17	0.3358129	0.487265571	0.017017007	10	79	x010_B19	x079_A17	NA
B19	A18	0.15317267	0.261540916	0.025252927	10	99	x010_B19	x099_A18	NA
B19	A19	0.21929921	0.351241988	0.021717668	10	82	x010_B19	x082_A19	NA
B19	A2	0.474308899	0.620035292	0.012650581	10	100	x010_B19	x100_A2	NA
B19	A20	0.692783155	0.800546456	-0.006985663	10	96	x010_B19	x096_A20	NA
B19	A3	0.258208616	0.39783106	-0.019989686	10	69	x010_B19	x069_A3	NA
B19	A4	0.965685072	0.979076951	0.000760683	10	92	x010_B19	x092_A4	NA
B19	A5	0.943573811	0.963538039	-0.001251497	10	101	x010_B19	x101_A5	NA
B19	A6	0.838537445	0.898968523	0.003602916	10	97	x010_B19	x097_A6	NA
B19	A7	0.902640484	0.938948407	-0.002162951	10	84	x010_B19	x084_A7	NA
B19	A8	0.860453649	0.911477648	0.003108397	10	93	x010_B19	x093_A8	NA
