plant	species	class	ontogeny	total	heteroblasty	V1	V2
Pala2	alata	F	12	14	3	5.31100544	23.69134378
Pala2	alata	F	14	14	1	10.22285991	14.94164546
Pala2	alata	F	2	14	13	12.92536212	21.77296383
Pala2	alata	F	3	14	12	1.6031374	20.73397258
Pala2	alata	F	4	14	11	0.845627117	21.49859887
Pala2	alata	F	5	14	10	-0.249171349	21.48239576
Pala2	alata	F	6	14	9	8.216533702	13.62108499
Pala2	alata	F	7	14	8	1.593054815	20.06452124
Pala2	alata	F	8	14	7	6.602562576	16.26484733
Pala2	alata	F	9	14	6	1.539734053	20.3980874
Pala3	alata	F	1	13	13	12.93037818	21.8112312
Pala3	alata	F	10	13	4	21.32517585	20.85646999
Pala3	alata	F	11	13	3	0.403734395	23.14069344
Pala3	alata	F	12	13	2	1.298841896	21.92260194
Pala3	alata	F	13	13	1	2.908321989	24.99892418
Pala3	alata	F	2	13	12	14.0840226	12.92134542
Pala3	alata	F	3	13	11	3.922305658	14.55137294
Pala3	alata	F	4	13	10	3.799086468	14.10805595
Pala3	alata	F	5	13	9	0.460132654	20.71308296
Pala3	alata	F	6	13	8	10.43175787	10.10543083
Pala3	alata	F	7	13	7	15.9360005	-2.595604012
Pala3	alata	F	8	13	6	1.418246852	22.45363031
Pala3	alata	F	9	13	5	13.35795784	12.07467972
Pala4	alata	F	10	11	2	1.964351343	20.74017542
Pala4	alata	F	11	11	1	-9.054150871	21.95782281
Pala4	alata	F	2	11	10	13.49701044	12.74040172
Pala4	alata	F	3	11	9	0.192502168	21.46910021
Pala4	alata	F	4	11	8	3.767321572	16.73187959
Pala4	alata	F	5	11	7	7.200710703	9.435477524
Pala4	alata	F	6	11	6	7.489264754	9.505399965
Pala4	alata	F	7	11	5	11.10116548	9.9654089
Pala4	alata	F	8	11	4	3.463707761	16.71013441
Pala4	alata	F	9	11	3	10.14520116	4.768460785
Pala5	alata	F	1	12	12	32.97896725	7.80043978
Pala5	alata	F	10	12	3	24.60776858	16.33072227
Pala5	alata	F	12	12	1	8.808327431	11.63399067
Pala5	alata	F	2	12	11	15.83465213	0.663791333
Pala5	alata	F	3	12	10	25.82693276	5.897116934
Pala5	alata	F	4	12	9	6.270253953	14.98089874
Pala5	alata	F	5	12	8	0.229086512	21.73735875
Pala5	alata	F	6	12	7	1.634344434	20.43413269
Pala5	alata	F	7	12	6	1.592352056	20.31624917
Pala5	alata	F	8	12	5	7.658349301	21.187206
Pala6	alata	F	1	14	14	32.97949158	7.783396243
Pala6	alata	F	10	14	5	-1.018026431	22.86664343
Pala6	alata	F	11	14	4	1.62313005	20.29747155
Pala6	alata	F	12	14	3	1.808465975	21.26175794
Pala6	alata	F	13	14	2	5.974907456	23.90607402
Pala6	alata	F	14	14	1	5.061154549	11.45498469
Pala6	alata	F	2	14	13	13.40286881	12.96168309
Pala6	alata	F	3	14	12	12.18137627	9.89058332
Pala6	alata	F	4	14	11	-0.221657603	21.80127621
Pala6	alata	F	5	14	10	3.40305384	18.28318522
Pala6	alata	F	6	14	9	10.62670589	9.911042461
Pala6	alata	F	7	14	8	3.449333888	14.90618562
Pala6	alata	F	8	14	7	9.456107041	10.59360178
Pala6	alata	F	9	14	6	4.000402009	19.30710043
Pala7	alata	F	1	15	15	-0.989194208	22.33348688
Pala7	alata	F	10	15	6	4.469109856	15.20571911
Pala7	alata	F	11	15	5	6.36949662	13.31141652
Pala7	alata	F	12	15	4	17.81237008	3.52373707
Pala7	alata	F	13	15	3	2.900742517	23.40456173
Pala7	alata	F	14	15	2	0.783335015	22.08317767
Pala7	alata	F	15	15	1	6.914572717	15.35304254
Pala7	alata	F	2	15	14	5.32432372	11.69471269
Pala7	alata	F	3	15	13	1.149152382	22.15345673
Pala7	alata	F	4	15	12	2.40619805	15.815613
Pala7	alata	F	5	15	11	-0.382824648	21.21774096
Pala7	alata	F	6	15	10	2.939798215	15.92847347
Pala7	alata	F	7	15	9	4.038939212	14.56684907
Pala7	alata	F	8	15	8	15.47753426	-4.41388091
Pala7	alata	F	9	15	7	10.75915334	10.12805055
Pame1	amethystina	D	1	16	16	-10.53726979	21.62441451
Pame1	amethystina	D	10	16	7	-10.64420628	13.90895703
